Invoice ID,Customer ID,Gender,Product_Name,Category,Unit price,Quantity,Tax 5%,Total,Date,Payment_Method
462-90-3302,C-23-4-464,Male,Gym Towel,Sports_and_travel,31.63,4,6.326,132.846,04/04/2023,Wave Pay
792-64-6119,C-23-4-947,Male,Coffee,Food_and_beverages,48.01,5,12.002,252.052,03/04/2023,Wave Pay
646-25-3128,C-23-4-276,Female,Lip Balm,Health_and_beauty,99.54,7,34.839,731.619,18/04/2023,KBZ Pay
413-63-4459,C-23-4-939,Male,Water Bottle,Sports_and_travel,42.06,10,21.03,441.63,23/04/2023,AYA Pay
333-17-4043,C-23-4-783,Female,Sunscreen,Health_and_beauty,69.4,3,10.41,218.61,30/04/2023,KBZ Pay
440-79-8067,C-23-4-555,Female,Water Bottle,Sports_and_travel,17.83,2,1.783,37.443,07/04/2023,Wave Pay
195-74-5733,C-23-4-633,Female,Cushion,Home_and_lifestyle,21.25,7,7.438,156.188,18/04/2023,KBZ Pay
529-80-2365,C-23-4-231,Male,Backpack,Sports_and_travel,56.83,5,14.207,298.357,20/04/2023,Wave Pay
219-95-4281,C-23-4-377,Female,Tea,Food_and_beverages,44.73,2,4.473,93.933,18/04/2023,KBZ Pay
121-62-3158,C-23-4-736,Male,Phone Case,Electronic_accessories,36.83,4,7.366,154.686,16/04/2023,KBZ Pay
274-61-3574,C-23-4-500,Female,Gym Towel,Sports_and_travel,79.05,3,11.857,249.007,26/04/2023,Cash
323-65-7128,C-23-4-43,Male,Table Lamp,Home_and_lifestyle,80.23,3,12.035,252.725,08/04/2023,AYA Pay
706-90-2412,C-23-4-200,Female,Candles,Home_and_lifestyle,32.23,10,16.115,338.415,13/04/2023,Card
844-51-9392,C-23-4-192,Female,Face Wash,Health_and_beauty,96.4,8,38.56,809.76,01/04/2023,Cash
997-89-4799,C-23-4-843,Male,Body Lotion,Health_and_beauty,45.6,8,18.24,383.04,18/04/2023,Cash
326-34-8461,C-23-4-982,Female,Juice,Food_and_beverages,76.92,4,15.384,323.064,23/04/2023,Card
989-16-6950,C-23-4-348,Female,Sunglasses,Fashion_accessories,13.73,3,2.059,43.249,09/04/2023,Card
851-34-7713,C-23-4-391,Female,Power Bank,Electronic_accessories,58.05,7,20.317,426.667,01/04/2023,AYA Pay
369-78-6325,C-23-4-635,Female,Chips,Food_and_beverages,96.09,1,4.805,100.895,26/04/2023,Cash
531-15-7261,C-23-4-80,Female,Shampoo,Health_and_beauty,28.53,10,14.265,299.565,02/04/2023,KBZ Pay
215-73-7004,C-23-4-299,Female,Running Shoes,Sports_and_travel,28.57,3,4.286,89.996,15/04/2023,Card
969-51-7141,C-23-4-529,Female,Sunscreen,Health_and_beauty,73.36,8,29.344,616.224,07/04/2023,Cash
422-44-1125,C-23-4-595,Female,Earphones,Electronic_accessories,81.84,2,8.184,171.864,02/04/2023,CB Pay
447-14-8417,C-23-4-478,Female,USB Cable,Electronic_accessories,48.17,3,7.226,151.736,25/04/2023,Cash
415-50-9888,C-23-4-308,Male,Phone Case,Electronic_accessories,43.52,8,17.408,365.568,22/04/2023,KBZ Pay
933-72-1958,C-23-4-12,Male,Picture Frame,Home_and_lifestyle,79.61,5,19.903,417.953,15/04/2023,Card
901-11-1820,C-23-4-417,Male,Sunscreen,Health_and_beauty,38.28,1,1.914,40.194,15/04/2023,Card
581-63-1137,C-23-4-772,Male,Table Lamp,Home_and_lifestyle,36.33,2,3.633,76.293,11/04/2023,KBZ Pay
335-50-6780,C-23-4-139,Male,Face Wash,Health_and_beauty,50.12,8,20.048,421.008,26/04/2023,KBZ Pay
286-61-7476,C-23-4-680,Female,Coffee,Food_and_beverages,61.5,5,15.375,322.875,15/04/2023,KBZ Pay
541-33-9647,C-23-4-949,Female,Cushion,Home_and_lifestyle,31.17,7,10.91,229.1,18/04/2023,CB Pay
389-46-2623,C-23-4-215,Female,Scarf,Fashion_accessories,87.52,4,17.504,367.584,23/04/2023,Wave Pay
299-37-7349,C-23-4-987,Female,Cookies,Food_and_beverages,33.06,7,11.571,242.991,27/04/2023,CB Pay
364-78-7267,C-23-4-640,Male,Sunglasses,Fashion_accessories,48.14,9,21.663,454.923,10/04/2023,KBZ Pay
811-44-6613,C-23-4-788,Male,Sunscreen,Health_and_beauty,57.54,2,5.754,120.834,12/04/2023,Cash
382-85-2997,C-23-4-597,Male,Phone Case,Electronic_accessories,34.0,4,6.8,142.8,09/04/2023,Cash
814-57-5087,C-23-4-29,Male,Face Wash,Health_and_beauty,81.14,4,16.228,340.788,28/04/2023,Card
285-42-3496,C-23-4-116,Female,Juice,Food_and_beverages,25.19,3,3.779,79.349,26/04/2023,Card
803-72-5400,C-23-4-729,Male,Body Lotion,Health_and_beauty,90.1,10,45.05,946.05,27/04/2023,Cash
897-42-9135,C-23-4-57,Female,Phone Case,Electronic_accessories,74.57,3,11.185,234.895,27/04/2023,Cash
671-32-5920,C-23-4-584,Male,Backpack,Sports_and_travel,41.09,6,12.327,258.867,01/04/2023,KBZ Pay
157-74-6253,C-23-4-805,Female,Shampoo,Health_and_beauty,20.35,6,6.105,128.205,09/04/2023,Wave Pay
800-30-7731,C-23-4-177,Male,Tea,Food_and_beverages,96.88,7,33.908,712.068,09/04/2023,Wave Pay
347-28-8361,C-23-4-514,Male,Watch,Fashion_accessories,44.83,2,4.483,94.143,17/04/2023,Wave Pay
288-37-9920,C-23-4-839,Male,Face Wash,Health_and_beauty,75.08,5,18.77,394.17,16/04/2023,Card
379-88-8586,C-23-4-604,Male,Candles,Home_and_lifestyle,53.56,6,16.068,337.428,09/04/2023,CB Pay
999-37-1177,C-23-4-780,Female,Candles,Home_and_lifestyle,88.44,4,17.688,371.448,01/04/2023,Card
740-41-1296,C-23-4-362,Female,Earphones,Electronic_accessories,80.9,6,24.27,509.67,10/04/2023,Wave Pay
481-48-6257,C-23-4-392,Female,Face Wash,Health_and_beauty,99.56,1,4.978,104.538,28/04/2023,CB Pay
662-45-7363,C-23-4-975,Female,Power Bank,Electronic_accessories,93.91,9,42.26,887.45,14/04/2023,CB Pay
224-41-9002,C-23-4-793,Female,Face Wash,Health_and_beauty,53.03,2,5.303,111.363,13/04/2023,Wave Pay
745-95-4922,C-23-4-96,Female,Gym Towel,Sports_and_travel,86.29,6,25.887,543.627,29/04/2023,KBZ Pay
825-46-6298,C-23-4-123,Male,Running Shoes,Sports_and_travel,99.45,2,9.945,208.845,01/04/2023,Wave Pay
933-35-8195,C-23-4-850,Female,Phone Case,Electronic_accessories,78.33,10,39.165,822.465,02/04/2023,AYA Pay
951-53-5278,C-23-4-26,Male,USB Cable,Electronic_accessories,69.25,4,13.85,290.85,26/04/2023,AYA Pay
